timestamp,open,high,low,close
2020-12-09 11:47:00,6.5000000000007e-09,8.000000000003989e-09,5.499999999998507e-09,6.5000000000007e-09
2020-12-09 11:48:00,6.5000000000007e-09,2.8500000000004894e-08,-2.0999999999998613e-08,-2.0999999999998613e-08
2020-12-09 11:49:00,-8.999999999999406e-09,1.1499999999998111e-08,-1.0499999999995918e-08,-3.49999999999751e-09
2020-12-09 11:50:00,-3.49999999999751e-09,1.5500000000000106e-08,-1.80000000000022e-08,5.000000000010964e-10
2020-12-09 11:51:00,5.000000000010964e-10,1.1999999999999207e-08,-9.500000000000502e-09,-9.999999999954164e-10
2020-12-09 11:52:00,-9.999999999954164e-10,9.500000000000502e-09,-9.000000000006182e-09,4.999999999997411e-09
2020-12-09 11:53:00,4.999999999997411e-09,7.999999999997213e-09,-1.0000000000001598e-08,-4.0000000000019946e-09
2020-12-09 11:54:00,-4.0000000000019946e-09,1.1000000000003791e-08,-5.999999999999604e-09,1.0000000000021927e-09
2020-12-09 11:55:00,1.0000000000021927e-09,8.500000000005086e-09,-1.0500000000002695e-08,5.000000000078726e-10
2020-12-09 11:56:00,-8.49999999999831e-09,1.500000000003289e-09,-1.5000000000005786e-08,-8.000000000003989e-09
2020-12-09 11:57:00,,,,
2020-12-09 11:58:00,,,,
2020-12-09 11:59:00,,,,
2020-12-09 12:00:00,,,,
2020-12-09 12:01:00,,,,
2020-12-09 12:02:00,,,,
2020-12-09 12:03:00,,,,
2020-12-09 12:04:00,,,,
2020-12-09 12:05:00,,,,
2020-12-09 12:06:00,,,,
2020-12-09 12:07:00,-5.000000000000799e-09,9.99999999999821e-09,-5.999999999999604e-09,1.499999999999901e-09
2020-12-09 12:08:00,1.499999999999901e-09,1.0999999999997015e-08,-4.500000000003091e-09,5.000000000010964e-10
2020-12-09 12:09:00,,,,
2020-12-09 12:10:00,-2.4999999999987055e-09,4.499999999999703e-09,-2.4999999999987055e-09,2.4999999999987055e-09
