timestamp,kucoin,kucoin-huobi_arb,kucoin-okex_arb
2020-05-22 23:59:00,0.0147225,-1.5000000000015001e-06,-2.5000000000007655e-06
2020-05-23 00:00:00,0.0147225,-1.5000000000015001e-06,-2.5000000000007655e-06
2020-05-23 00:01:00,0.014726,-5.000000000005e-07,9.999999999992654e-07
2020-05-23 00:02:00,0.0147245,2.0000000000002655e-06,9.499999999999093e-06
2020-05-23 00:03:00,0.0147115,4.999999999999796e-06,6.500000000001296e-06
2020-05-23 00:04:00,0.014711499999999999,1.2999999999999123e-05,6.499999999999562e-06
2020-05-23 00:05:00,0.014711499999999999,1.4000000000000123e-05,6.499999999999562e-06
2020-05-23 00:06:00,0.014693999999999999,-3.0000000000012655e-06,-1.000000000001e-06
2020-05-23 00:07:00,0.0147455,-7.499999999998827e-06,5.000000000005e-07
2020-05-23 00:08:00,0.014741500000000001,-1.4000000000000123e-05,-1.3499999999999623e-05
2020-05-23 00:09:00,0.014751,-7.500000000000562e-06,-4.000000000000531e-06
2020-05-23 00:10:00,0.0147585,-3.999999999998796e-06,-6.499999999999562e-06
2020-05-23 00:11:00,0.0147685,-1.9999999999985307e-06,3.500000000000031e-06
2020-05-23 00:12:00,0.014761,-9.000000000000327e-06,-4.000000000000531e-06
2020-05-23 00:13:00,0.014766999999999999,-5.500000000000296e-06,-8.000000000001062e-06
2020-05-23 00:14:00,0.014762,-5.499999999998562e-06,-2.999999999999531e-06
2020-05-23 00:15:00,0.014769000000000001,2.5000000000007655e-06,4.000000000000531e-06
2020-05-23 00:16:00,0.0147605,1.9999999999985307e-06,5.499999999998562e-06
2020-05-23 00:17:00,0.0147665,9.500000000000827e-06,1.1499999999999358e-05
2020-05-23 00:18:00,0.014744,2.0000000000002655e-06,-9.999999999992654e-07
2020-05-23 00:19:00,0.014741,0.0,-3.999999999998796e-06
2020-05-23 00:20:00,0.0147425,1.4999999999997654e-06,-2.4999999999990308e-06
2020-05-23 00:21:00,0.0147455,3.999999999998796e-06,5.000000000005e-07
2020-05-23 00:22:00,0.0147445,5.000000000005e-07,-4.999999999987653e-07
2020-05-23 00:23:00,0.0147525,-4.999999999999796e-06,-2.5000000000007655e-06
2020-05-23 00:24:00,0.0147565,-3.999999999998796e-06,-8.499999999999827e-06
2020-05-23 00:25:00,0.0147695,-1.0500000000000093e-05,-5.500000000000296e-06
2020-05-23 00:26:00,0.014785,-4.000000000000531e-06,0.0
2020-05-23 00:27:00,0.0147945,-4.999999999999796e-06,-4.999999999987653e-07
2020-05-23 00:28:00,0.014797000000000001,-2.4999999999990308e-06,2.000000000002e-06
2020-05-23 00:29:00,0.0147995,-6.499999999999562e-06,4.500000000001031e-06
2020-05-23 00:30:00,0.0148105,-8.999999999998592e-06,-4.499999999999296e-06
2020-05-23 00:31:00,0.0148115,-4.999999999999796e-06,-3.500000000000031e-06
2020-05-23 00:32:00,0.014784499999999999,-4.000000000000531e-06,-5.000000000005e-07
2020-05-23 00:33:00,0.014791499999999999,1.9999999999985307e-06,-3.500000000000031e-06
2020-05-23 00:34:00,0.014797000000000001,-1.4999999999980307e-06,-7.999999999999327e-06
2020-05-23 00:35:00,0.0147975,4.499999999999296e-06,2.5000000000007655e-06
2020-05-23 00:36:00,0.0147825,-2.0000000000002655e-06,-2.4999999999990308e-06
2020-05-23 00:37:00,0.014782,-2.999999999999531e-06,-2.999999999999531e-06
2020-05-23 00:38:00,0.014771,-2.4999999999990308e-06,-9.000000000000327e-06
2020-05-23 00:39:00,0.014755500000000001,-1.9999999999985307e-06,-9.499999999999093e-06
2020-05-23 00:40:00,0.0147575,-1.000000000001e-06,-7.500000000000562e-06
2020-05-23 00:41:00,0.014755500000000001,3.0000000000012655e-06,5.000000000005e-07
2020-05-23 00:42:00,0.0147655,-5.000000000005e-07,5.000000000005e-07
2020-05-23 00:43:00,0.0147605,0.0,-4.500000000001031e-06
2020-05-23 00:44:00,0.014766000000000001,-2.4999999999990308e-06,-8.999999999998592e-06
2020-05-23 00:45:00,0.0147695,3.999999999998796e-06,-5.500000000000296e-06
2020-05-23 00:46:00,0.0147765,2.0000000000002655e-06,1.4999999999997654e-06
2020-05-23 00:47:00,0.014784,6.500000000001296e-06,9.000000000000327e-06
2020-05-23 00:48:00,0.014787000000000002,1.000000000001e-06,2.000000000002e-06
2020-05-23 00:49:00,0.0147925,-5.999999999999062e-06,-2.4999999999990308e-06
2020-05-23 00:50:00,0.0147995,-7.999999999999327e-06,-5.500000000000296e-06
2020-05-23 00:51:00,0.014801499999999999,-9.000000000002062e-06,-3.5000000000017656e-06
2020-05-23 00:52:00,0.014819,-7.499999999998827e-06,-5.999999999999062e-06
2020-05-23 00:53:00,0.014814500000000001,-7.000000000000062e-06,-1.0499999999998358e-05
2020-05-23 00:54:00,0.0148275,-9.499999999999093e-06,-1.2499999999998623e-05
2020-05-23 00:55:00,0.014829499999999999,-2.999999999999531e-06,-5.500000000002031e-06
2020-05-23 00:56:00,0.0148285,-7.999999999999327e-06,-6.500000000001296e-06
2020-05-23 00:57:00,0.0148325,-9.999999999992654e-07,-2.5000000000007655e-06
2020-05-23 00:58:00,0.0148305,1.5000000000015001e-06,5.500000000000296e-06
2020-05-23 00:59:00,0.0148405,0.0,-4.500000000001031e-06
2020-05-23 01:00:00,0.014850499999999999,4.999999999987653e-07,5.499999999998562e-06
2020-05-23 01:01:00,0.0148335,-2.000000000002e-06,-1.5000000000015001e-06
2020-05-23 01:02:00,0.0148325,2.5000000000007655e-06,-2.5000000000007655e-06
